reclass_cat,pixels,sqmeter,acreage,stock_abvgc_mtco2e_pixel_sum,stock_soilc_mtco2e_pix_sum,emit_no_mtco2e_pix_sum,net,year
Fallow,5899,5309100,1311.860637509266,0,18845.719407,0,18845.719407,2012
Fodder,12753,11477700,2836.100815418829,3477.5554533782397,42371.377821,308.6134925265111,45848.93327437824,2012
Greenhouse,3628,3265200,806.8198665678281,0,13797.656613,0,13797.656613,2012
Orchard,55328,49795200,12304.225352112677,103076.06399999997,202871.442717,2578.853713000565,305947.506717,2012
Pastureland,18033,16229700,4010.303928836175,4917.333763880639,65780.2872,436.3857218482377,70697.62096388065,2012
Row Crop,331046,297941400,73620.31134173462,60180.915477093215,1009446.1933139997,28642.95231962424,1069627.1087910929,2012
Vineyard,119792,107812800,26640.17790956264,31265.711999999963,435896.01215100003,1575.4787235371641,467161.724151,2012
Total,546479,491831100,121529.79985174203,202917.58069435201,1789008.6892229996,33542.28397053672,1991926.2699173517,2012
