reclass_cat,pixels,sqmeter,acreage,stock_abvgc_mtco2e_pixel_sum,stock_soilc_mtco2e_pix_sum,emit_no_mtco2e_pix_sum,net,year
Fallow,10614,9552600,2360.415122312824,0,28313.669268,0,28313.669268,2016
Fodder,16374,14736600,3641.3639733135656,4464.9488742739195,61130.261079,396.2391066124907,65595.20995327392,2016
Greenhouse,8711,7839900,1937.2127501853224,0,19398.359709,0,19398.359709,2016
Orchard,62056,55850400,13800.444773906598,115610.32799999998,224186.049171,2825.196656232843,339796.377171,2016
Pastureland,11427,10284300,2541.2157153446997,3115.9747640361597,48735.97324200001,276.52523948094114,51851.94800603617,2016
Row Crop,341060,306954000,75847.2942920682,62001.36244696331,1055421.5305409997,30697.443280974217,1117422.892987963,2016
Vineyard,130833,117749700,29095.552260934026,34147.41299999996,483679.28844900004,1725.9793429923552,517826.701449,2016
Total,581075,522967500,129223.49888806524,219340.02708527332,1920865.1314589998,35921.383626292845,2140205.158544273,2016
